continue_last_run;이어서 하기
start_new_run;새로 하기
continue;계속하기
settings;설정
credits;크레딧
quit;종료
first_time_setup_title;처음 설정
first_time_setup_upper_desc;에이션트 던전에 오신 것을 환영합니다. 시작하기 전 컨트롤 세팅을 먼저 해보세요.
first_time_setup_move_with;이동
first_time_setup_lower_desc;추가적인 설정을 하려면<br>(앉아 하기, 스냅/부드러운 회전 조절) 메인 메뉴에서<br>설정 메뉴를 여세요!
dominant_hand;주사용 손
left_hand;왼손
right_hand;오른손
left_controller;왼쪽 컨트롤러
right_controller;오른쪽 컨트롤러
volume;볼륨
done;확인
disabled;비활성화
enabled;활성화
configure;설정
reconnect;재접속
master_volume;마스터 볼륨
music_volume;음악 볼륨
sfx_volume;SFX 볼륨
movement_type;이동 타입
smooth_movement;부드러운 이동
teleport_movement;순간이동
recommended;추천
homebase_title_the_ancient_dungeon;고대 던전
close;닫기
main_menu;메인 메뉴
give_up;포기하기
off;Off
on;On
apply;동의
hard_mode;어려움 모드
buy;구입
locked;잠김
mods;모드
apply_changes;설정 저장
choose_a_category;카테고리 선택
settings_preset_selection;프리셋 선택
rift;Rift
quest;Quest
other;기타
rift_quest;Rift / Quest
wmr;WMR
vive;Vive
index;Index
keys;열쇠
coins;코인
changelog_title;변경점
changelog_hint;(전체 목록은 게임 외부의 패치 노트 참조)
changelog;
credits_main_development;Main Development
credits_a_game_by;A game by
credits_music;<color=#e62>Music</color><br>Elben Schutte &<br>Daniel Caleb
credits_sound;<color=#e62>Sound</color><br>Damon McKenzie
credits_narrative;<color=#e62>Narrative Design</color><br>Christopher Walton
credits_programming;<color=#e62>Programming</color><br>Thom de Meulder
credits_thanks;ADVR 디스코드 관리자, 테스터 및 도움을 주신 모든 분들께 감사드립니다!
credits_kickstarter;이 게임을 가능하게 해준 모든 킥스타터 서포터들에게 감사드립니다!
thank_you_for_playing;고대 던전을 플레이해 주셔서 감사합니다!<br><br>게임에 대한 제안이 있거나 피드백을 제공하고 싶다면 언제든지 디스코드에 동참하십시오.<br><br><color=orange>https://discord.gg/advr</color><br><br>변경로그를 확인하여 미쳐 알아보지 못한 패치를 찾아보세요.<br><br><KOREAN_FONT_LICENSE>
how_to_play_title;플레이 하는 법
how_to_play_equip_sword;검 장착 / 해제
how_to_play_equip_knife;투척용 나이프 장착 / 상호작용
how_to_play_grab_objects;물건 잡기
how_to_play_walk;걷기
how_to_play_activate_item;아이템 활성화
how_to_play_stats;능력치 / 설정
